,location,total_sqft,bath,price,bhk
2741,other,1020.0,2.0,40.0,2
2742,Rachenahalli,1550.0,3.0,73.5,3
2744,Akshaya Nagar,1410.0,2.0,80.0,3
2745,Chikka Tirupathi,3500.0,5.0,150.0,4
2748,Kanakapura,1130.0,2.0,45.2,2
2753,Marathahalli,1102.0,2.0,53.67,2
2754,Jalahalli,1478.0,2.0,125.0,2
2755,Chandapura,645.0,1.0,16.45,1
2756,Hebbal,823.0,2.0,50.63,2
2759,Budigere,1991.0,4.0,100.0,3
2761,Gubbalala,1745.0,3.0,115.0,3
2764,other,1100.0,2.0,70.0,2
2767,Singasandra,3366.0,4.0,120.0,4
2768,Sahakara Nagar,1150.0,2.0,54.0,2
2769,Kanakpura Road,1843.0,3.0,95.84,3
2771,Bommanahalli,1090.0,3.0,44.0,2
2772,Kaggadasapura,1132.0,2.0,42.0,2
2773,Hulimavu,1375.0,2.0,80.0,2
2777,Jigani,918.0,2.0,45.0,2
2780,HSR Layout,1372.0,2.0,61.0,2
2782,Ardendale,1728.0,3.0,95.0,3
2788,Rachenahalli,440.0,1.0,28.0,1
2790,Whitefield,1800.0,3.0,110.0,3
2791,Mysore Road,1525.0,3.0,96.0,3
2793,Old Madras Road,1225.0,2.0,53.55,2
2797,other,4200.0,4.0,255.0,4
2798,other,1200.0,2.0,55.0,2
2800,9th Phase JP Nagar,1005.0,2.0,42.0,2
2801,Whitefield,1562.0,3.0,103.0,3
2802,Devanahalli,5000.0,5.0,395.0,4
2805,Kasavanhalli,1555.0,3.0,82.5,3
2806,KR Puram,1550.0,2.0,71.0,2
2807,Whitefield,1190.0,2.0,67.0,2
2808,Chikkalasandra,1070.0,2.0,50.0,2
2810,Jalahalli East,1020.0,2.0,42.48,2
2812,other,700.0,1.0,41.0,1
2816,Hebbal,1069.0,3.0,65.4,3
2817,Marathahalli,1900.0,3.0,123.0,3
2818,Old Airport Road,1655.0,2.0,97.65,2
2819,Uttarahalli,1155.0,2.0,40.42,2
2820,Sarjapur  Road,1300.0,2.0,70.0,3
2821,Electronic City,1100.0,2.0,45.0,2
2822,Doddathoguru,1030.0,2.0,42.0,2
2824,Bhoganhalli,1700.0,3.0,126.0,3
2826,Kadugodi,6200.0,9.0,200.0,9
2827,other,1400.0,2.0,67.0,2
2828,other,1200.0,2.0,53.0,2
2829,Bannerghatta Road,912.0,2.0,55.0,2
2830,Whitefield,1102.0,2.0,48.0,2
2832,Haralur Road,1243.0,2.0,46.0,2
2834,Begur Road,1500.0,2.0,70.0,3
2836,Kasavanhalli,1476.0,3.0,89.0,3
2837,Mysore Road,1200.0,2.0,65.0,2
2839,other,1100.0,2.0,61.0,2
2840,Garudachar Palya,1295.0,2.0,59.5,3
2842,OMBR Layout,1300.0,2.0,80.0,2
2844,other,1260.0,1.0,41.0,1
2845,Koramangala,1140.0,2.0,75.2,2
2847,Whitefield,2321.0,4.0,128.0,3
2848,Sarjapur  Road,1390.0,2.0,62.0,2
2849,Sarjapur  Road,1725.0,3.0,90.0,3
2851,Hennur Road,1186.0,2.0,63.0,3
2854,Yeshwanthpur,1313.0,3.0,96.0,3
2855,TC Palaya,900.0,2.0,55.0,2
2856,Ambalipura,1250.0,2.0,66.25,2
2858,Binny Pete,660.0,1.0,54.0,1
2859,Basavangudi,1036.0,2.0,105.0,2
2861,Old Madras Road,1100.0,2.0,70.0,2
2865,Electronics City Phase 1,1015.0,2.0,56.0,2
2866,Gottigere,812.0,1.0,26.0,1
2867,other,1360.0,2.0,65.0,3
2870,other,1165.0,2.0,75.0,2
2871,BTM 2nd Stage,1274.0,2.0,70.0,2
2872,Raja Rajeshwari Nagar,1151.0,2.0,39.02,2
2875,Banashankari Stage V,1035.0,2.0,35.77,2
2876,other,1272.0,4.0,75.0,3
2877,other,965.0,2.0,45.0,2
2879,Kothannur,1070.0,2.0,42.79,2
2880,Raja Rajeshwari Nagar,1570.0,2.0,65.0,3
2883,other,1000.0,2.0,65.0,3
2885,Tindlu,7500.0,7.0,400.0,7
2886,5th Phase JP Nagar,1700.0,2.0,100.0,3
2887,Haralur Road,1850.0,3.0,110.0,3
2888,Kereguddadahalli,904.0,2.0,30.0,2
2889,other,1121.0,2.0,43.72,2
2891,Sahakara Nagar,1270.0,2.0,69.85,2
2894,Mahadevpura,730.0,1.0,35.0,1
2895,Raja Rajeshwari Nagar,1580.0,3.0,53.56,3
2896,Thanisandra,1111.0,2.0,50.0,2
2898,Varthur,977.0,2.0,36.0,2
2901,Sarjapur,2540.0,4.0,115.0,4
2904,Abbigere,795.0,2.0,32.54,2
2905,Kanakpura Road,700.0,1.0,35.0,2
2908,other,1306.0,2.0,58.0,3
2909,other,2401.0,3.0,185.0,3
2910,Bommenahalli,1670.0,3.0,135.0,4
2912,Marsur,1200.0,3.0,90.0,3
2913,Dodda Nekkundi,1804.0,3.0,121.0,3
2914,1st Phase JP Nagar,2065.0,4.0,210.0,3
2915,Hoskote,1225.0,3.0,40.0,3
2916,Thanisandra,1185.5,2.0,58.68,2
2918,Binny Pete,1350.0,2.0,91.0,2
2919,Kaggalipura,700.0,1.0,36.0,1
2921,Poorna Pragna Layout,1160.0,2.0,46.39,2
2922,Hennur Road,1680.0,3.0,99.27,3
2923,LB Shastri Nagar,1043.0,2.0,55.0,2
2924,Hoskote,1200.0,4.0,120.0,4
2926,Tindlu,1357.0,2.0,65.0,3
2928,other,1225.0,2.0,47.0,2
2930,Yelachenahalli,1130.0,2.0,40.0,2
2932,Sultan Palaya,1700.0,3.0,120.0,3
2933,Doddathoguru,1549.0,3.0,65.0,3
2934,Yeshwanthpur,1400.0,2.0,100.0,2
2935,Dodda Nekkundi,1080.0,2.0,50.0,2
2936,Ulsoor,1180.0,2.0,100.0,2
2938,Domlur,1800.0,3.0,150.0,3
2939,Haralur Road,1225.0,2.0,67.38,2
2943,Anandapura,1475.0,2.0,50.0,4
2944,Kudlu Gate,1707.0,2.0,99.745,3
2945,other,1110.0,2.0,51.0,2
2946,other,1300.0,2.0,54.0,2
2951,Banashankari,2600.0,4.0,135.0,3
2953,Sanjay nagar,630.0,1.0,35.0,2
2954,Hosa Road,1243.0,2.0,48.5,2
2956,other,1690.0,3.0,100.0,3
2957,Whitefield,735.0,2.0,35.0,2
2958,Banaswadi,1365.0,2.0,73.0,2
2959,Rajaji Nagar,2849.0,5.0,300.0,5
2960,Hebbal,1420.0,2.0,99.39,2
2961,Somasundara Palya,1570.0,3.0,68.0,3
2962,Bisuvanahalli,850.0,1.0,32.0,2
2963,7th Phase JP Nagar,1575.0,2.0,110.0,3
2964,Thigalarapalya,1418.0,2.0,104.0,2
2965,Uttarahalli,1050.0,2.0,42.0,2
2968,Yelahanka New Town,1610.0,3.0,92.0,3
2969,Electronic City Phase II,1160.0,2.0,33.5,2
2970,Kudlu,1092.0,2.0,44.0,2
2971,Parappana Agrahara,1194.0,2.0,47.0,2
2972,Yelahanka,1455.0,3.0,61.5,3
2973,Abbigere,734.0,1.0,19.82,1
2974,other,799.0,2.0,38.0,2
2976,Ardendale,1100.0,2.0,48.0,2
2977,Bellandur,1350.0,2.0,79.0,2
2978,other,1355.0,3.0,61.0,3
2980,other,1350.0,2.0,90.0,2
2982,Kasavanhalli,1493.0,3.0,82.0,3
2983,8th Phase JP Nagar,1098.0,2.0,43.91,2
2985,other,1460.0,3.0,88.0,3
2987,Horamavu Banaswadi,1600.0,5.0,140.0,5
2990,Kanakpura Road,1366.0,3.0,76.85,2
2991,other,1685.0,3.0,95.0,3
2992,Koramangala,1260.0,2.0,100.0,2
2993,Whitefield,3010.0,3.0,200.0,3
2997,Chandapura,630.0,1.0,13.86,1
2998,Sarjapur  Road,1476.0,2.0,98.94,3
2999,7th Phase JP Nagar,1850.0,3.0,140.0,3
3001,Electronic City,755.0,1.0,34.0,2
3003,Parappana Agrahara,1194.0,2.0,46.0,2
3005,Hebbal,4235.0,4.0,365.0,4
3006,other,800.0,1.0,52.0,1
3008,Vijayanagar,1352.0,2.0,68.0,2
3009,Thanisandra,2002.0,3.0,112.0,3
3010,other,4000.0,5.0,280.0,4
3011,Kaval Byrasandra,1060.0,2.0,45.0,2
3012,Kanakpura Road,1419.59,2.0,59.0,3
3013,Raja Rajeshwari Nagar,1196.0,2.0,51.15,2
3015,Electronics City Phase 1,1595.0,3.0,75.0,3
3016,Banashankari,1260.0,2.0,75.0,2
3018,Frazer Town,1550.0,2.0,140.0,2
3019,ISRO Layout,1180.0,2.0,52.0,2
3021,Akshaya Nagar,1662.0,3.0,85.0,3
3022,Hennur,1285.0,2.0,60.0,2
3024,Ambedkar Nagar,1862.0,3.0,119.0,3
3025,Raja Rajeshwari Nagar,1419.0,2.0,48.0,2
3027,Raja Rajeshwari Nagar,1560.0,2.0,62.4,3
3029,Thanisandra,1634.0,3.0,78.0,3
3032,other,1100.0,2.0,53.0,2
3033,Yelahanka,1616.0,3.0,65.0,3
3034,Nagavarapalya,1392.0,2.0,99.0,2
3035,Jakkur,1798.0,3.0,120.0,3
3038,other,2000.0,4.0,103.0,5
3040,Hebbal,1700.0,3.0,124.0,3
3041,Hulimavu,1248.0,2.0,69.0,2
3042,Kalkere,1147.0,2.0,54.0,2
3046,Kanakpura Road,525.0,1.0,25.0,1
3048,Seegehalli,1118.0,2.0,37.5,2
3049,Kanakapura,1476.0,3.0,75.0,3
3052,Ambalipura,1332.0,2.0,79.0,2
3055,Haralur Road,1243.0,2.0,46.0,2
3056,NGR Layout,1105.0,2.0,49.73,2
3059,Ramagondanahalli,1251.0,2.0,47.4,2
3060,Kambipura,883.0,2.0,45.0,2
3061,Pai Layout,1400.0,2.0,67.0,3
3063,Hegde Nagar,1703.0,3.0,113.0,3
3064,NRI Layout,2500.0,5.0,130.0,5
3065,Varthur,1250.0,3.0,71.0,3
3066,Jigani,933.0,2.0,43.0,2
3067,other,461.82,1.0,31.7,1
3068,Brookefield,1262.0,2.0,75.0,2
3069,Yelahanka,915.0,2.0,48.0,2
3070,Panathur,1370.0,2.0,61.5,3
3071,Malleshpalya,1210.0,2.0,55.0,2
3072,Kodihalli,2392.0,4.0,260.0,3
3073,other,1500.0,2.0,85.0,3
3074,other,1065.0,2.0,50.0,2
3076,Ramamurthy Nagar,1515.0,3.0,65.0,3
3077,Sarjapura - Attibele Road,1800.0,4.0,110.0,4
3079,Uttarahalli,1300.0,2.0,55.0,3
3080,Vijayanagar,989.0,2.0,60.0,2
3081,Jakkur,1300.0,2.0,85.0,2
3082,Chandapura,1185.0,2.0,30.22,3
3084,Marathahalli,1045.0,2.0,60.0,2
3085,other,1205.0,2.0,42.18,2
3086,other,1260.0,2.0,75.0,2
3088,Ulsoor,1500.0,2.0,125.0,3
3090,other,1199.0,2.0,50.0,2
3091,Hennur Road,1385.0,2.0,83.09,2
3093,Lakshminarayana Pura,1149.0,2.0,75.0,2
3096,other,12000.0,12.0,525.0,10
3098,Hulimavu,1818.0,3.0,135.0,3
3101,Nagarbhavi,1350.0,2.0,54.6,3
3104,Nagavara,2430.0,4.0,180.0,3
3106,Sarjapur  Road,1084.0,2.0,55.0,2
3108,Kengeri,1255.0,2.0,50.0,2
3109,Haralur Road,3400.0,5.0,240.0,4
3111,Iblur Village,3596.0,5.0,282.0,4
3116,Electronic City,1100.0,2.0,40.0,2
3120,JP Nagar,1200.0,2.0,62.0,2
3121,Gunjur,2000.0,3.0,95.0,4
3124,Kengeri,2400.0,5.0,253.0,4
3125,Sarjapur  Road,1220.0,3.0,62.0,3
3126,other,1950.0,3.0,130.0,3
3127,Somasundara Palya,1178.0,2.0,73.0,2
3128,Dasanapura,1286.0,3.0,61.44,3
3129,Begur Road,1160.0,2.0,42.0,2
3130,Jigani,918.0,2.0,55.0,2
3131,Electronic City,1563.0,3.0,91.84,3
3132,other,1326.0,2.0,62.17,2
3134,Hebbal,3960.0,5.0,386.0,4
3135,Begur Road,1240.0,2.0,39.06,2
3136,Kaggadasapura,1325.0,2.0,50.0,2
3137,Sonnenahalli,1100.0,2.0,44.0,2
3140,Hennur Road,5600.0,5.0,515.0,5
3142,Hoodi,1553.0,3.0,83.09,3
3143,Whitefield,1280.0,2.0,52.0,2
3146,Murugeshpalya,1550.0,3.0,74.0,3
3147,Electronics City Phase 1,1515.0,2.0,80.91,3
3148,Hosa Road,1332.0,2.0,86.12,3
3149,Electronic City,1652.0,3.0,70.0,3
3150,Hegde Nagar,1570.0,3.0,105.0,3
3152,Sector 2 HSR Layout,794.0,1.0,60.0,1
3153,Seegehalli,1200.0,2.0,62.0,3
3159,Sarjapur  Road,1750.0,3.0,110.0,3
3160,Hebbal,1053.0,2.0,48.0,2
3161,Kanakpura Road,1100.0,3.0,53.0,3
3162,Kadubeesanahalli,1665.0,3.0,70.0,3
3163,other,4051.0,4.0,345.0,4
3165,Bommasandra,1447.0,3.0,80.0,3
3168,Narayanapura,1308.0,2.0,92.66,2
3169,Green Glen Layout,3250.0,4.0,230.0,4
3170,Hormavu,1351.0,2.0,53.0,1
3173,Gunjur,1140.0,2.0,49.11,2
3174,Jakkur,3181.0,4.0,260.5,4
3175,Uttarahalli,1250.0,2.0,55.0,3
3176,Kanakapura,1290.0,3.0,45.15,3
3177,Ambedkar Nagar,1424.0,2.0,90.0,2
3178,Garudachar Palya,1320.0,2.0,60.6,3
3179,Akshaya Nagar,1662.0,3.0,85.5,3
3181,Begur Road,1200.0,2.0,45.0,2
3183,Garudachar Palya,1295.0,2.0,59.5,3
3185,Kadugodi,1900.0,3.0,108.0,3
3186,Anandapura,1576.0,3.0,59.1,3
3187,Sompura,1020.0,2.0,41.0,2
3189,Raja Rajeshwari Nagar,648.0,1.0,31.75,1
3194,Vittasandra,1259.0,2.0,67.4,2
3195,Gottigere,2000.0,4.0,82.0,4
3196,8th Phase JP Nagar,1800.0,3.0,80.0,3
3198,Bannerghatta,1665.0,3.0,110.0,3
3199,other,1234.0,2.0,61.0,2
3200,Mysore Road,1340.0,2.0,64.31,3
3201,Banashankari,1170.0,2.0,46.79,2
3202,Electronics City Phase 1,995.0,2.0,46.0,2
3203,Old Airport Road,1075.0,2.0,60.0,2
3204,Electronic City,1025.0,2.0,54.5,2
3206,Thanisandra,2000.0,3.0,99.0,3
3207,Whitefield,2500.0,4.0,155.0,4
3208,Mallasandra,1325.0,2.0,70.0,2
3209,Kadugodi,1314.0,2.0,68.2,2
3210,Kanakpura Road,2265.0,3.0,136.0,3
3211,7th Phase JP Nagar,4800.0,7.0,170.0,7
3212,Yelahanka,1026.0,2.0,41.0,2
3213,other,1200.0,3.0,66.0,3
3215,KR Puram,1192.5,2.0,51.22,2
3216,Hebbal,1420.0,2.0,99.39,2
3217,Sarjapur  Road,1888.0,4.0,95.0,3
3218,JP Nagar,1300.0,2.0,90.87,2
3219,Rajaji Nagar,1216.0,2.0,97.16,2
3221,Begur,1559.0,3.0,63.0,3
3222,Harlur,1290.0,2.0,87.0,2
3224,Whitefield,905.0,1.0,55.0,1
3225,other,1069.0,2.0,55.0,2
3226,Sarjapura - Attibele Road,829.0,2.0,22.8,2
3229,Sarjapur  Road,1300.0,3.0,60.0,3
3230,Channasandra,1115.0,2.0,33.45,2
3233,Marathahalli,1305.0,2.0,69.0,3
3234,Kanakpura Road,1252.0,2.0,56.32,2
3235,Hosakerehalli,2400.0,5.0,250.0,5
3236,Whitefield,1200.0,2.0,46.13,2
3237,Koramangala,1750.0,3.0,130.0,3
3240,Subramanyapura,1313.0,2.0,66.5,2
3241,Attibele,3640.0,4.0,275.0,4
3242,other,1693.0,3.0,108.0,3
3243,other,1160.0,2.0,41.75,2
3247,other,900.0,2.0,45.0,2
3248,Yelahanka New Town,1700.0,3.0,90.0,3
3249,Indira Nagar,1875.0,3.0,180.0,3
3251,Harlur,1749.0,3.0,115.0,3
3253,other,1175.0,2.0,48.0,2
3254,Akshaya Nagar,1280.0,2.0,60.0,2
3255,other,1200.0,2.0,50.0,2
3256,Ramagondanahalli,1610.0,2.0,115.0,3
3257,Electronic City,1070.0,2.0,46.0,2
3258,TC Palaya,1200.0,2.0,66.0,2
3259,9th Phase JP Nagar,1127.0,2.0,50.0,2
3260,Indira Nagar,1210.0,2.0,102.0,2
3261,other,600.0,2.0,23.0,2
3263,other,1364.0,2.0,70.0,2
3264,Whitefield,2268.0,3.0,146.0,4
3265,other,1150.0,2.0,77.5,3
3267,Magadi Road,1345.0,2.0,55.0,2
3268,other,1110.0,2.0,41.0,2
3269,Kengeri,750.0,2.0,36.0,2
3270,other,1156.0,2.0,49.5,2
3271,Pattandur Agrahara,1247.0,2.0,59.8,2
3272,other,1058.0,2.0,60.0,2
3273,Kaggalipura,950.0,2.0,48.0,2
3276,Vijayanagar,1520.0,2.0,103.0,3
3277,Marathahalli,1215.0,2.0,58.86,2
3278,other,900.0,1.0,30.0,1
3280,Thanisandra,1050.0,2.0,46.0,2
3282,Laggere,2800.0,5.0,125.0,5
3283,other,1500.0,2.0,65.0,3
3284,other,1400.0,2.0,65.0,2
3286,8th Phase JP Nagar,2700.0,4.0,130.0,4
3287,Bommasandra,920.0,2.0,37.46,2
3288,Sarjapur  Road,1200.0,3.0,70.0,3
3290,Hosakerehalli,1817.0,4.0,153.0,3
3292,HSR Layout,1140.0,2.0,46.0,2
3294,Haralur Road,1464.0,2.0,56.0,2
3296,Electronics City Phase 1,1555.0,2.0,82.0,3
3298,Whitefield,1150.0,2.0,55.0,2
3300,Banashankari,2500.0,4.0,95.0,4
3301,other,1166.0,2.0,53.0,2
3303,Electronic City,1350.0,3.0,58.0,3
3304,other,900.0,2.0,46.0,2
3306,other,1190.0,3.0,55.0,3
3307,Kodichikkanahalli,1495.0,2.0,75.0,3
3308,Indira Nagar,1224.0,2.0,105.0,2
3309,Banashankari Stage III,1350.0,2.0,68.0,3
3310,Green Glen Layout,940.0,2.0,56.8,2
3312,Kaikondrahalli,1300.0,2.0,61.0,2
3316,Yelahanka,1517.0,3.0,76.3,3
3317,Horamavu Banaswadi,3800.0,8.0,200.0,6
3318,Jalahalli,1615.0,3.0,89.75,3
3319,other,1500.0,3.0,65.0,3
3320,Mysore Road,1082.0,3.0,50.5,3
3321,Marathahalli,1365.0,2.0,73.0,2
3324,Kodigehalli,1086.0,2.0,33.66,2
3325,Hennur Road,1586.0,3.0,93.94,3
3327,Electronic City Phase II,1065.0,2.0,30.75,2
3329,7th Phase JP Nagar,1575.0,2.0,120.0,3
3330,Hennur Road,1975.0,3.0,123.0,3
3332,Gubbalala,1745.0,3.0,110.0,3
3333,Nagarbhavi,1223.0,2.0,60.0,2
3337,Bharathi Nagar,1351.0,2.0,70.0,2
3338,Hebbal,1355.0,3.0,83.87,3
3339,Sector 7 HSR Layout,3900.0,3.0,300.0,3
3340,Thanisandra,1588.0,3.0,75.55,3
3341,Amruthahalli,900.0,2.0,60.0,2
3344,Panathur,1370.0,2.0,75.0,3
3345,Whitefield,1500.0,3.0,71.8,3
3347,Kanakpura Road,1100.0,3.0,53.0,3
3350,Balagere,1020.07,2.0,68.38,2
3351,Gunjur Palya,1033.0,2.0,32.0,3
3352,other,1460.0,2.0,73.0,3
3353,Garudachar Palya,1150.0,2.0,52.8,2
3354,Sarjapur  Road,5965.0,5.0,385.0,5
3355,Babusapalaya,1141.0,2.0,46.0,2
3357,Doddaballapur,4200.0,4.0,325.0,4
3359,Kanakapura,1295.0,2.0,64.0,2
3361,other,1080.0,2.0,75.0,3
3362,Kaggalipura,1000.0,2.0,60.0,2
3364,Whitefield,630.5,1.0,32.79,1
3365,Rayasandra,1708.0,3.0,75.0,3
3366,Thanisandra,1697.0,3.0,115.0,3
3367,Whitefield,3537.0,5.0,210.0,4
3368,Hosa Road,615.0,1.0,28.29,1
3369,Banashankari,1350.0,2.0,83.0,3
3370,Kanakpura Road,1530.0,2.0,66.4,3
3372,Gottigere,1460.0,2.0,65.0,3
3373,Babusapalaya,1084.0,2.0,58.0,2
3374,Bommasandra,1035.0,2.0,41.43,2
3375,other,2400.0,2.0,150.0,3
3378,Whitefield,1285.0,2.0,55.9,2
3380,Sarjapur,1200.0,3.0,78.0,3
3382,Hegde Nagar,1801.0,3.0,140.0,3
3383,Whitefield,1697.0,3.0,115.0,3
3384,AECS Layout,1199.0,2.0,65.0,2
3386,Mysore Road,1340.0,2.0,64.31,3
3387,Marathahalli,3800.0,4.0,205.0,4
3389,other,1125.0,2.0,75.0,2
3390,Anandapura,1200.0,2.0,67.0,2
3392,Nagarbhavi,956.0,2.0,49.0,2
3393,Sarjapur,1000.0,2.0,30.0,2
3394,other,1596.0,3.0,95.0,3
3398,other,1639.0,3.0,123.0,3
3400,Uttarahalli,1200.0,3.0,50.0,3
3401,Bannerghatta Road,1218.0,2.0,73.0,2
3402,other,920.0,2.0,37.0,2
3403,Yeshwanthpur,2559.0,3.0,141.0,3
3404,2nd Phase Judicial Layout,525.0,1.0,26.0,1
3406,Kothannur,1270.0,3.0,45.0,3
3408,Dommasandra,2700.0,3.0,68.0,4
3410,Ramamurthy Nagar,1355.0,2.0,40.0,3
3411,Lingadheeranahalli,1530.0,2.0,90.0,3
3412,other,1372.0,2.0,90.0,3
3413,Nehru Nagar,2363.0,5.0,120.0,4
3414,Marathahalli,3895.0,4.0,220.0,4
3415,Jakkur,1950.0,3.0,131.0,3
3416,other,885.0,2.0,40.0,2
3417,Yelahanka,600.0,2.0,27.0,2
3420,Kanakpura Road,1339.0,2.0,62.0,2
3422,Uttarahalli,1085.0,2.0,43.0,2
3426,other,1490.0,2.0,59.6,3
3427,other,1650.0,4.0,99.0,4
3428,Bellandur,1286.0,2.0,57.0,2
3430,Bellandur,3016.0,4.0,230.0,4
3431,Haralur Road,1000.0,2.0,44.0,2
3433,other,1200.0,3.0,95.0,4
3435,Yeshwanthpur,673.0,1.0,36.85,1
3436,Anandapura,1200.0,2.0,58.0,2
3438,Malleshwaram,1600.0,3.0,160.0,3
3439,other,1200.0,2.0,79.0,2
3442,Devanahalli,2400.0,5.0,100.0,5
3443,Sector 2 HSR Layout,1143.0,2.0,65.0,2
3444,Kanakpura Road,1470.0,2.0,61.74,2
3445,other,1584.0,3.0,145.0,4
3446,Marathahalli,1785.0,3.0,94.0,3
3448,Kothanur,1460.0,3.0,71.0,3
3449,Kasturi Nagar,1500.0,2.0,80.0,3
3451,Sanjay nagar,3300.0,3.0,250.0,5
3452,Chikkalasandra,1230.0,2.0,48.0,2
3453,Yelahanka New Town,650.0,1.0,20.0,1
3455,Thanisandra,1220.0,2.0,43.92,2
3456,other,1570.0,3.0,115.0,3
3458,Mallasandra,1665.0,3.0,86.91,3
3463,Kasavanhalli,1719.0,3.0,116.0,3
3464,Budigere,664.0,1.0,35.0,1
3465,Sonnenahalli,1011.0,2.0,50.53,2
3466,other,2400.0,6.0,130.0,6
3467,other,1680.0,3.0,85.0,3
3468,Yeshwanthpur,717.0,2.0,49.475,2
3471,Uttarahalli,1350.0,2.0,53.0,3
3475,Somasundara Palya,1174.0,2.0,74.0,2
3476,Munnekollal,1560.0,3.0,75.0,3
3477,other,1464.0,2.0,56.0,2
3478,Kanakpura Road,2200.0,3.0,130.0,3
3479,Shivaji Nagar,850.0,2.0,55.0,2
3484,Kodihalli,2408.0,4.0,260.0,3
3485,Devanahalli,1080.0,2.0,44.0,2
3488,Begur Road,1500.0,2.0,55.0,3
3489,Mahalakshmi Layout,1575.0,5.0,158.0,4
3490,Kodichikkanahalli,3250.0,4.0,180.0,4
3491,Uttarahalli,1175.0,2.0,47.0,2
3492,Channasandra,1030.0,2.0,34.5,2
3494,Hoodi,1500.0,2.0,84.0,2
3496,other,1200.0,2.0,50.0,2
3497,other,705.0,1.0,36.5,1
3498,Harlur,2240.0,5.0,155.0,3
3499,Hegde Nagar,1584.01,3.0,103.0,3
3500,other,1340.0,3.0,77.0,3
3501,other,1800.0,3.0,70.0,3
3502,R.T. Nagar,1200.0,2.0,45.0,2
3503,Sarjapur  Road,685.0,1.0,40.0,1
3504,Kalkere,925.0,2.0,42.0,2
3505,other,1230.0,2.0,57.0,2
3507,Kodichikkanahalli,1125.0,2.0,52.0,2
3508,Hebbal,1100.0,2.0,54.0,2
3510,Electronic City Phase II,1400.0,2.0,41.58,3
3512,Jakkur,1858.0,3.0,98.3,3
3513,other,1260.0,1.0,41.0,1
3514,Ambedkar Nagar,3530.0,4.0,290.0,4
3515,HSR Layout,1185.0,2.0,60.0,2
3517,Hennur,1255.0,2.0,58.0,2
3520,Dodda Nekkundi,1999.0,3.0,132.0,3
3522,Kundalahalli,1397.0,3.0,110.0,3
3526,Chikka Tirupathi,1616.0,3.0,95.0,3
3529,Raja Rajeshwari Nagar,1140.0,2.0,38.55,2
3530,Kanakpura Road,525.0,1.0,30.0,1
3533,Balagere,1205.47,2.0,81.0,2
3535,Electronic City,1700.0,3.0,75.0,3
3537,Kanakpura Road,1090.0,2.0,54.54,2
3538,Yeshwanthpur,3600.0,5.0,220.0,4
3543,Whitefield,1495.0,2.0,79.5,2
3544,Hennur Road,1664.0,2.0,93.865,3
3545,Narayanapura,1485.0,3.0,85.0,3
3546,Dommasandra,1033.0,2.0,31.5,3
3547,Electronic City,1400.0,2.0,48.0,3
3550,Whitefield,3250.0,5.0,290.0,5
3551,Whitefield,1216.0,2.0,66.48,2
3552,other,1100.0,2.0,39.5,2
3553,Thanisandra,1743.0,3.0,93.25,3
3554,Yelahanka,1274.0,2.0,48.42,2
3563,Sarjapura - Attibele Road,2400.0,3.0,85.0,3
3564,Hormavu,1141.0,2.0,44.4,2
3565,Anandapura,1151.0,2.0,43.1,2
3567,Sarjapur  Road,915.0,2.0,38.0,2
3569,Bannerghatta Road,1115.0,2.0,65.12,2
3571,Kaggadasapura,1200.0,2.0,53.0,2
3572,Singasandra,1300.0,2.0,65.0,2
3573,Bellandur,1457.0,2.0,85.0,2
3576,Ananth Nagar,900.0,2.0,22.5,2
3578,Kanakapura,1160.0,2.0,46.39,2
3580,JP Nagar,1315.0,2.0,85.4,3
3581,Babusapalaya,1500.0,2.0,57.0,2
3583,Kundalahalli,1397.0,3.0,104.0,3
3584,Whitefield,1173.0,2.0,60.0,2
3587,Jakkur,1230.0,2.0,76.0,2
3588,other,3200.0,3.0,190.0,4
3590,Talaghattapura,1868.0,3.0,121.0,3
3596,Channasandra,4200.0,6.0,180.0,6
3599,other,970.0,2.0,40.0,2
3600,Kundalahalli,1397.0,3.0,108.0,3
3601,Sarjapur,1157.0,2.0,40.0,2
3602,Kasavanhalli,1125.0,2.0,61.2,2
3606,Marathahalli,4000.0,4.0,220.0,4
3607,Rajiv Nagar,2340.0,4.0,148.0,4
3609,other,10000.0,16.0,550.0,16
3610,other,1200.0,4.0,110.0,4
3613,Thigalarapalya,3122.0,5.0,225.0,4
3614,Sarjapura - Attibele Road,1033.0,2.0,28.41,2
3615,Yeshwanthpur,1168.0,2.0,64.08,2
3617,Electronics City Phase 1,1340.0,2.0,75.0,2
3618,other,1405.0,2.0,70.0,3
3621,other,1360.0,2.0,65.0,3
3623,other,985.0,2.0,63.0,2
3626,other,1490.0,2.0,88.0,3
3627,other,620.0,1.0,25.0,2
3628,Hormavu,1130.0,2.0,42.3,2
3629,Yelachenahalli,1080.0,2.0,55.0,2
3630,Singasandra,3126.0,4.0,120.0,4
3631,Begur Road,1410.0,2.0,52.17,3
3632,Bommanahalli,1375.0,3.0,59.0,3
3634,Hosa Road,1318.0,2.0,85.28,3
3636,other,4428.0,4.0,255.0,4
3637,Kanakpura Road,1051.0,2.0,56.74,2
3639,Kannamangala,2400.0,4.0,130.0,4
3641,Thigalarapalya,2912.0,6.0,210.0,4
3642,Basapura,1301.0,2.0,55.0,2
3643,other,650.0,1.0,30.0,1
3644,Varthur,1200.0,3.0,67.75,3
3645,other,1500.0,2.0,89.99,3
3647,Nagadevanahalli,1350.0,4.0,145.0,4
